0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:23 +0530] "GET /Cab_It/advertisement/update.jsp HTTP/1.1" 200 719
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:30 +0530] "POST /Cab_It/validation/advertisement/update-validation.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:30 +0530] "GET /Cab_It/update/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:30 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:30 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:32 +0530] "POST /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:32 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:32 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:35 +0530] "POST /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:35 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:35 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 12689
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:37 +0530] "GET /Cab_It/delete/advertisement?id=ADV_00008 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:37 +0530] "GET /Cab_It/advertisement/delete.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:38 +0530] "POST /Cab_It/delete/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:38 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:38 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:40 +0530] "POST /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:40 +0530] "GET /Cab_It/fetch/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:40 +0530] "GET /Cab_It/advertisement/search.jsp HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:41 +0530] "GET /Cab_It/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:41 +0530] "GET /Cab_It/admin/dashboard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:41 +0530] "GET /Cab_It/admin/dashboard.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:43 +0530] "GET /Cab_It/register/advertisement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2021:00:38:43 +0530] "GET /Cab_It/advertisement/create.jsp HTTP/1.1" 200 746
